seed,max_yield_index,done_index,max_yield
2484,60,60,99.99248331149631
2485,55,55,99.99246091271331
2486,70,70,99.99248331149631
2487,70,70,99.99246091271331
2488,90,90,99.99248331149631
2489,65,65,99.99248331149631
2490,60,60,99.99246091271331
2491,65,65,99.99248331149631
2492,50,50,99.99248331149631
2493,45,45,99.99246091271331
2494,65,65,99.99246091271331
2495,70,70,99.99248331149631
2496,70,70,99.99248331149631
2497,80,80,99.99246091271331
2498,55,55,99.99248331149631
2499,60,60,99.99248331149631
2500,45,45,99.99248331149631
2501,65,65,99.99246091271331
2502,13,13,99.99248331149631
2503,75,75,99.99246091271331
2504,40,40,99.99248331149631
2505,65,65,99.99248331149631
2506,60,60,99.99248331149631
2507,75,75,99.99246091271331
2508,9,9,99.99246091271331
2509,60,60,99.99246091271331
2510,65,65,99.99248331149631
2511,45,45,99.99246091271331
2512,40,40,99.99248331149631
2513,65,65,99.99248331149631
2514,9,9,99.99248331149631
2515,75,75,99.99246091271331
2516,45,45,99.99246091271331
2517,55,55,99.99248331149631
2518,55,55,99.99246091271331
2519,1,1,99.99246091271331
2520,40,40,99.99248331149631
2521,70,70,99.99248331149631
2522,70,70,99.99246091271331
2523,75,75,99.99246091271331
2524,55,55,99.99248331149631
2525,65,65,99.99248331149631
2526,65,65,99.99246091271331
2527,55,55,99.99246091271331
2528,55,55,99.99246091271331
2529,75,75,99.99248331149631
2530,35,35,99.99248331149631
2531,75,75,99.99246091271331
2532,55,55,99.99246091271331
2533,85,85,99.99248331149631
2534,70,70,99.99246091271331
2535,70,70,99.99248331149631
2536,60,60,99.99248331149631
2537,50,50,99.99246091271331
2538,70,70,99.99248331149631
2539,45,45,99.99246091271331
2540,45,45,99.99246091271331
2541,70,70,99.99246091271331
2542,50,50,99.99246091271331
2543,70,70,99.99248331149631
2544,65,65,99.99248331149631
2545,60,60,99.99248331149631
2546,45,45,99.99246091271331
2547,45,45,99.99246091271331
2548,65,65,99.99246091271331
2549,55,55,99.99246091271331
2550,45,45,99.99246091271331
2551,75,75,99.99248331149631
2552,70,70,99.99248331149631
2553,55,55,99.99246091271331
2554,80,80,99.99248331149631
2555,85,85,99.99246091271331
2556,70,70,99.99248331149631
2557,60,60,99.99246091271331
2558,65,65,99.99248331149631
2559,85,85,99.99246091271331
2560,40,40,99.99246091271331
2561,55,55,99.99246091271331
2562,60,60,99.99248331149631
2563,80,80,99.99248331149631
2564,55,55,99.99246091271331
2565,70,70,99.99246091271331
2566,50,50,99.99248331149631
2567,95,95,99.99246091271331
2568,55,55,99.99248331149631
2569,45,45,99.99246091271331
2570,85,85,99.99246091271331
2571,45,45,99.99248331149631
2572,65,65,99.99248331149631
2573,50,50,99.99246091271331
2574,70,70,99.99246091271331
2575,65,65,99.99246091271331
2576,70,70,99.99246091271331
2577,60,60,99.99246091271331
2578,60,60,99.99246091271331
2579,75,75,99.99248331149631
2580,75,75,99.99246091271331
2581,75,75,99.99246091271331
2582,80,80,99.99246091271331
2583,70,70,99.99246091271331
2584,65,65,99.99248331149631
2585,95,95,99.99246091271331
2586,65,65,99.99248331149631
2587,60,60,99.99248331149631
2588,70,70,99.99246091271331
2589,25,25,99.99248331149631
2590,1,1,99.99246091271331
2591,60,60,99.99246091271331
2592,75,75,99.99246091271331
2593,60,60,99.99246091271331
2594,70,70,99.99246091271331
2595,75,75,99.99246091271331
2596,70,70,99.99246091271331
2597,75,75,99.99246091271331
2598,65,65,99.99246091271331
2599,55,55,99.99248331149631
2600,70,70,99.99248331149631
2601,80,80,99.99248331149631
2602,75,75,99.99248331149631
2603,85,85,99.99246091271331
2604,75,75,99.99246091271331
2605,60,60,99.99248331149631
2606,35,35,99.99246091271331
2607,40,40,99.99246091271331
2608,70,70,99.99246091271331
2609,60,60,99.99246091271331
2610,85,85,99.99246091271331
2611,65,65,99.99248331149631
2612,80,80,99.99246091271331
2613,65,65,99.99246091271331
2614,60,60,99.99246091271331
2615,65,65,99.99248331149631
2616,65,65,99.99248331149631
2617,70,70,99.99248331149631
2618,50,50,99.99246091271331
2619,75,75,99.99246091271331
2620,60,60,99.99246091271331
2621,65,65,99.99248331149631
2622,3,3,99.99248331149631
2623,65,65,99.99248331149631
2624,2,2,99.99248331149631
2625,55,55,99.99246091271331
2626,70,70,99.99246091271331
2627,70,70,99.99246091271331
2628,60,60,99.99246091271331
2629,85,85,99.99246091271331
2630,85,85,99.99246091271331
2631,75,75,99.99246091271331
2632,70,70,99.99246091271331
2633,75,75,99.99248331149631
2634,50,50,99.99246091271331
2635,40,40,99.99248331149631
2636,60,60,99.99246091271331
2637,75,75,99.99246091271331
2638,70,70,99.99246091271331
2639,70,70,99.99246091271331
2640,80,80,99.99248331149631
2641,65,65,99.99246091271331
2642,60,60,99.99248331149631
2643,40,40,99.99248331149631
2644,60,60,99.99248331149631
2645,65,65,99.99246091271331
2646,45,45,99.99246091271331
2647,60,60,99.99246091271331
2648,65,65,99.99248331149631
2649,80,80,99.99248331149631
2650,55,55,99.99246091271331
2651,65,65,99.99248331149631
2652,65,65,99.99248331149631
2653,60,60,99.99246091271331
2654,75,75,99.99248331149631
2655,70,70,99.99248331149631
2656,45,45,99.99248331149631
2657,75,75,99.99246091271331
2658,60,60,99.99246091271331
2659,55,55,99.99248331149631
2660,75,75,99.99248331149631
2661,65,65,99.99246091271331
2662,80,80,99.99248331149631
2663,70,70,99.99248331149631
2664,75,75,99.99248331149631
2665,60,60,99.99246091271331
2666,60,60,99.99248331149631
2667,55,55,99.99246091271331
2668,40,40,99.99246091271331
2669,50,50,99.99248331149631
2670,75,75,99.99246091271331
2671,60,60,99.99248331149631
2672,55,55,99.99246091271331
2673,55,55,99.99246091271331
2674,45,45,99.99246091271331
2675,15,15,99.99246091271331
2676,70,70,99.99248331149631
2677,70,70,99.99246091271331
2678,45,45,99.99248331149631
2679,55,55,99.99246091271331
2680,65,65,99.99246091271331
2681,7,7,99.99248331149631
2682,70,70,99.99248331149631
2683,60,60,99.99248331149631
2684,65,65,99.99246091271331
2685,7,7,99.99246091271331
2686,60,60,99.99246091271331
2687,65,65,99.99248331149631
2688,14,14,99.99246091271331
2689,75,75,99.99246091271331
2690,70,70,99.99246091271331
2691,60,60,99.99248331149631
