seed,max_yield_index,done_index,max_yield
2454,18,-1,99.79519748069741
2455,10,10,99.99248331149631
2456,50,-1,99.79519748069741
2457,50,50,99.99248331149631
2458,2,2,99.99248331149631
2459,15,15,99.99248331149631
2460,35,35,99.99248331149631
2461,17,-1,99.11381585237794
2462,16,16,99.99246091271331
2463,37,-1,99.79519748069741
2464,41,41,99.99248331149631
2465,48,48,99.99246091271331
2466,16,16,99.99248331149631
2467,3,-1,99.11381585237794
2468,33,33,99.99248331149631
2469,45,45,99.99248331149631
2470,7,7,99.99248331149631
2471,42,-1,99.79519748069741
2472,20,20,99.99248331149631
2473,47,-1,99.5963982535343
2474,27,27,99.99246091271331
2475,14,14,99.99246091271331
2476,34,34,99.99248331149631
2477,12,12,99.99248331149631
2478,42,42,99.99246091271331
2479,50,50,99.99248331149631
2480,40,40,99.99246091271331
2481,35,35,99.99248331149631
2482,36,36,99.99248331149631
2483,33,33,99.99248331149631
2484,18,18,99.99248331149631
2485,36,-1,99.79519748069741
2486,26,26,99.99248331149631
2487,2,2,99.99248331149631
2488,33,33,99.99248331149631
2489,15,15,99.99248331149631
2490,25,25,99.99246091271331
2491,26,26,99.99248331149631
2492,38,38,99.99246091271331
2493,36,36,99.99248331149631
2494,15,15,99.99248331149631
2495,37,37,99.99248331149631
2496,13,13,99.99248331149631
2497,17,17,99.99246091271331
2498,32,32,99.99246091271331
2499,31,-1,99.79519748069741
2500,30,30,99.99248331149631
2501,24,24,99.99248331149631
2502,20,-1,99.11381585237794
2503,24,24,99.99248331149631
2504,17,17,99.99246091271331
2505,37,37,99.99248331149631
2506,50,-1,99.79519748069741
2507,46,-1,99.79519748069741
2508,33,33,99.99248331149631
2509,40,-1,96.49491836951914
2510,49,49,99.99246091271331
2511,41,41,99.99248331149631
2512,49,-1,99.795175155573
2513,18,-1,99.79519748069741
2514,49,-1,99.79519748069741
2515,39,39,99.99246091271331
2516,48,48,99.99248331149631
2517,16,16,99.99248331149631
2518,31,31,99.99246091271331
2519,36,-1,99.795175155573
2520,23,23,99.99248331149631
2521,18,18,99.99248331149631
2522,33,33,99.99248331149631
2523,41,41,99.99248331149631
2524,39,-1,99.79519748069741
2525,42,-1,99.795175155573
2526,49,49,99.99246091271331
2527,41,41,99.99248331149631
2528,35,-1,99.79519748069741
2529,44,44,99.99246091271331
2530,28,28,99.99248331149631
2531,20,20,99.99248331149631
2532,36,36,99.99248331149631
2533,34,34,99.99246091271331
2534,50,-1,99.795175155573
2535,39,39,99.99248331149631
2536,20,-1,99.79519748069741
2537,27,27,99.99248331149631
2538,47,47,99.99248331149631
2539,16,16,99.99248331149631
2540,25,25,99.99248331149631
2541,26,26,99.99248331149631
2542,31,31,99.99248331149631
2543,14,14,99.99246091271331
2544,43,43,99.99248331149631
2545,19,19,99.99248331149631
2546,22,22,99.99248331149631
2547,37,-1,99.5963982535343
2548,35,35,99.99248331149631
2549,29,29,99.99248331149631
2550,40,40,99.99246091271331
2551,27,27,99.99248331149631
2552,39,39,99.99248331149631
2553,8,8,99.99246091271331
2554,11,11,99.99248331149631
2555,31,-1,99.79519748069741
2556,37,37,99.99248331149631
2557,20,20,99.99248331149631
2558,17,-1,99.11381585237794
2559,25,25,99.99248331149631
2560,20,20,99.99248331149631
2561,6,6,99.99248331149631
2562,38,38,99.99248331149631
2563,36,36,99.99248331149631
2564,24,24,99.99246091271331
2565,46,46,99.99246091271331
2566,21,-1,99.11381585237794
2567,39,39,99.99248331149631
2568,33,33,99.99248331149631
2569,41,41,99.99248331149631
2570,40,-1,99.79519748069741
2571,37,37,99.99248331149631
2572,46,-1,99.79519748069741
2573,11,11,99.99248331149631
2574,39,-1,99.79519748069741
2575,16,16,99.99248331149631
2576,16,-1,99.79519748069741
2577,19,19,99.99248331149631
2578,29,-1,99.79519748069741
2579,42,-1,99.79519748069741
2580,27,-1,99.79519748069741
2581,9,9,99.99248331149631
2582,32,32,99.99248331149631
2583,20,20,99.99248331149631
2584,43,-1,98.47977431885104
2585,50,50,99.99248331149631
2586,50,-1,99.79519748069741
2587,14,14,99.99246091271331
2588,21,21,99.99248331149631
2589,8,8,99.99248331149631
2590,50,50,99.99248331149631
2591,50,-1,99.795175155573
2592,37,37,99.99248331149631
2593,22,22,99.99248331149631
2594,37,37,99.99248331149631
2595,18,18,99.99248331149631
2596,47,47,99.99246091271331
2597,30,30,99.99248331149631
2598,10,-1,99.79519748069741
2599,31,31,99.99248331149631
2600,38,38,99.99246091271331
2601,45,45,99.99248331149631
2602,21,21,99.99246091271331
2603,29,29,99.99248331149631
2604,12,12,99.99248331149631
2605,40,40,99.99248331149631
2606,14,-1,99.79519748069741
2607,21,21,99.99248331149631
2608,32,32,99.99246091271331
2609,48,-1,96.49491836951914
2610,33,-1,99.79519748069741
2611,18,18,99.99248331149631
2612,14,-1,99.79519748069741
2613,44,-1,99.79519748069741
2614,25,25,99.99248331149631
2615,36,36,99.99248331149631
2616,27,27,99.99248331149631
2617,9,-1,99.5963982535343
2618,33,-1,99.795175155573
2619,23,-1,96.4949394624598
2620,9,9,99.99248331149631
2621,10,10,99.99248331149631
2622,41,41,99.99248331149631
2623,19,19,99.99248331149631
2624,0,0,99.99248331149631
2625,10,10,99.99248331149631
2626,26,26,99.99248331149631
2627,49,49,99.99248331149631
2628,24,-1,98.47975248485278
2629,32,32,99.99246091271331
2630,12,12,99.99248331149631
2631,33,33,99.99248331149631
2632,49,49,99.99246091271331
2633,34,34,99.99248331149631
2634,30,30,99.99248331149631
2635,36,-1,99.79519748069741
2636,25,25,99.99248331149631
2637,50,-1,99.795175155573
2638,45,45,99.99246091271331
2639,50,-1,99.79519748069741
2640,32,32,99.99248331149631
2641,22,22,99.99248331149631
2642,33,33,99.99248331149631
2643,22,22,99.99248331149631
2644,34,34,99.99248331149631
2645,11,11,99.99248331149631
2646,33,33,99.99246091271331
2647,46,-1,99.79519748069741
2648,14,-1,99.79519748069741
2649,50,-1,99.79519748069741
2650,26,26,99.99248331149631
2651,5,5,99.99246091271331
2652,13,13,99.99248331149631
2653,14,14,99.99248331149631
2654,5,5,99.99248331149631
2655,11,11,99.99248331149631
2656,50,-1,99.79519748069741
2657,18,18,99.99248331149631
2658,50,-1,99.795175155573
2659,47,-1,99.79519748069741
2660,32,32,99.99246091271331
2661,33,33,99.99248331149631
2662,22,22,99.99248331149631
2663,12,12,99.99248331149631
2664,50,-1,99.11381585237794
2665,19,19,99.99248331149631
2666,6,6,99.99248331149631
2667,28,28,99.99248331149631
2668,37,37,99.99248331149631
2669,13,-1,99.79519748069741
2670,34,34,99.99246091271331
2671,30,30,99.99248331149631
2672,40,-1,95.98565349313392
2673,26,26,99.99246091271331
2674,19,19,99.99248331149631
2675,33,-1,99.79519748069741
2676,42,42,99.99246091271331
2677,25,25,99.99248331149631
2678,29,29,99.99248331149631
2679,23,-1,99.59637600263355
2680,4,4,99.99248331149631
2681,39,39,99.99248331149631
2682,48,48,99.99248331149631
2683,50,50,99.99246091271331
2684,39,-1,96.4949394624598
2685,40,40,99.99246091271331
2686,30,30,99.99248331149631
2687,20,20,99.99248331149631
2688,39,39,99.99246091271331
2689,43,43,99.99248331149631
2690,26,26,99.99248331149631
2691,21,21,99.99248331149631
2692,13,13,99.99246091271331
2693,16,-1,99.5963982535343
2694,41,41,99.99248331149631
2695,50,-1,99.795175155573
2696,40,40,99.99246091271331
2697,47,47,99.99248331149631
2698,31,31,99.99248331149631
2699,24,24,99.99248331149631
2700,18,18,99.99248331149631
2701,32,32,99.99248331149631
2702,44,44,99.99246091271331
2703,25,25,99.99248331149631
2704,35,35,99.99248331149631
2705,46,46,99.99248331149631
2706,50,50,99.99248331149631
2707,0,0,99.99248331149631
2708,49,49,99.99248331149631
2709,25,25,99.99246091271331
2710,10,10,99.99248331149631
2711,10,-1,98.47975248485278
2712,18,18,99.99248331149631
2713,31,31,99.99248331149631
2714,47,47,99.99248331149631
2715,11,11,99.99248331149631
2716,35,35,99.99248331149631
2717,6,6,99.99248331149631
2718,1,1,99.99246091271331
2719,18,18,99.99248331149631
2720,46,46,99.99248331149631
2721,25,25,99.99248331149631
2722,13,13,99.99246091271331
2723,35,35,99.99248331149631
2724,11,-1,99.79519748069741
2725,17,17,99.99248331149631
2726,15,-1,99.79519748069741
2727,16,16,99.99248331149631
2728,14,-1,99.79519748069741
2729,9,9,99.99248331149631
2730,45,45,99.99246091271331
2731,30,-1,99.59637600263355
2732,32,32,99.99248331149631
2733,30,-1,99.79519748069741
2734,34,34,99.99248331149631
2735,36,36,99.99246091271331
2736,16,16,99.99248331149631
2737,35,35,99.99248331149631
2738,34,34,99.99248331149631
2739,38,38,99.99248331149631
2740,17,-1,99.79519748069741
2741,19,-1,99.5963982535343
2742,32,32,99.99248331149631
2743,36,-1,99.79519748069741
2744,16,16,99.99248331149631
2745,12,12,99.99248331149631
2746,20,-1,99.79519748069741
2747,29,29,99.99248331149631
2748,13,13,99.99246091271331
2749,22,22,99.99248331149631
2750,13,13,99.99248331149631
2751,24,24,99.99248331149631
2752,20,20,99.99248331149631
2753,33,33,99.99248331149631
2754,4,4,99.99248331149631
2755,45,-1,99.79519748069741
2756,39,39,99.99248331149631
2757,30,-1,99.11379378165407
2758,13,13,99.99248331149631
2759,24,24,99.99246091271331
2760,7,7,99.99248331149631
2761,38,38,99.99248331149631
2762,27,27,99.99246091271331
2763,21,21,99.99246091271331
2764,28,-1,96.49491836951914
2765,5,-1,99.795175155573
2766,50,-1,99.795175155573
2767,13,-1,99.79519748069741
2768,28,28,99.99248331149631
2769,26,26,99.99248331149631
2770,36,36,99.99248331149631
2771,17,17,99.99248331149631
2772,33,33,99.99246091271331
2773,50,-1,99.79519748069741
2774,18,18,99.99248331149631
2775,11,11,99.99248331149631
2776,48,48,99.99246091271331
2777,35,35,99.99246091271331
2778,48,48,99.99248331149631
2779,12,12,99.99248331149631
2780,17,17,99.99248331149631
2781,49,49,99.99246091271331
2782,32,32,99.99248331149631
2783,11,11,99.99248331149631
2784,50,-1,99.795175155573
2785,34,34,99.99248331149631
2786,23,23,99.99248331149631
2787,24,24,99.99248331149631
2788,35,-1,98.47975248485278
2789,28,28,99.99248331149631
2790,24,-1,99.795175155573
2791,44,44,99.99246091271331
2792,20,20,99.99248331149631
2793,23,23,99.99248331149631
2794,34,34,99.99248331149631
2795,19,19,99.99248331149631
2796,32,32,99.99246091271331
2797,39,39,99.99248331149631
2798,31,31,99.99248331149631
2799,21,21,99.99248331149631
2800,41,-1,96.4949394624598
2801,44,44,99.99248331149631
2802,5,-1,99.79519748069741
2803,27,27,99.99248331149631
2804,25,25,99.99248331149631
2805,6,6,99.99248331149631
2806,33,33,99.99248331149631
2807,24,24,99.99246091271331
2808,18,18,99.99248331149631
