T,t2,beta,yield
-8,7,105,33.59432606861618
20,11,105,43.53005031088318
2,20,115,44.47548078459844
-8,15,105,46.44391044003689
-20,15,100,43.09765328061004
-18,8,115,40.46511560797738
16,16,115,46.69390484518699
-8,17,110,39.25994566074728
14,14,110,57.17801534743095
20,14,100,50.87038883614889
18,14,115,65.39445174673757
20,14,120,57.17797615309797
0,13,120,61.9639899850778
6,13,120,87.1092592177238
-14,5,100,31.116584179460084
-14,8,100,31.477854113310816
-14,11,100,43.09767100614585
-14,14,100,50.87040975851543
-14,17,100,32.73757761111958
10,5,100,31.35778476519789
10,5,105,31.672396164573463
10,5,110,35.24593993754502
10,5,115,40.31078176572785
10,5,120,35.24593993754502
20,20,100,31.122654266617868
20,20,105,31.434906611112872
20,20,110,34.98165483282568
20,20,115,40.0085188895171
20,20,120,34.98165483282568
20,5,100,31.1165713815962
20,5,105,31.428762696749267
20,5,110,34.97481771082469
20,5,115,40.00069927303429
20,5,120,34.97481771082469
-20,20,100,31.122654266617868
-20,20,105,31.434906611112872
-20,20,110,34.98165483282568
-20,20,115,40.0085188895171
-20,20,120,34.98165483282568
20,9,100,32.73756414656127
20,9,105,33.066018817240945
20,9,110,36.796802715854845
20,9,115,42.084503536684046
20,9,120,36.796802715854845
20,18,100,31.477841166861104
20,18,105,31.793657087309
20,18,110,35.380882528478146
20,18,115,40.46511560797027
20,18,120,35.380882528478146
4,9,100,46.593452494868735
4,9,105,47.06092273873043
4,9,110,52.37072836661638
4,9,115,59.89640241797253
4,9,120,52.37072836661638
-2,5,100,33.20390302551906
-2,5,105,33.53703645550494
-2,5,110,37.32096449071754
-2,5,115,42.683987362448576
-2,5,120,37.32096449071754
4,17,100,46.593452494868735
4,17,105,47.06092273873043
4,17,110,52.37072836661638
4,17,115,59.89640241797253
4,17,120,52.37072836661638
-8,20,100,33.20597511585338
-8,20,105,33.53912933503864
-8,20,110,37.32329350636756
-8,20,115,42.68665105766464
-8,20,120,37.32329350636756
-20,5,100,31.1165713815962
-20,5,105,31.428762696749267
-20,5,110,34.97481771082469
-20,5,115,40.00069927303429
-20,5,120,34.97481771082469
-20,19,100,31.173874107139664
-20,19,105,31.486640338244413
-20,19,110,35.03922559033166
-20,19,115,40.07436256529999
-20,19,120,35.03922559033166
20,7,100,0.0
20,7,105,0.0
20,7,110,0.0
20,7,115,0.0
20,7,120,0.0
