t,p,cat,arbr,pyrr,yields
11,22.0,3e-05,0.35,1.25,0
6,20.0,6e-05,0.35,1.0,0
9,22.5,1e-05,0.45,2.0,0
7,22.0,3e-05,0.5,1.75,0
12,23.5,3e-05,0.15,1.0,0
9,24.0,5e-05,0.2,1.75,0
6,23.5,5e-05,0.15,1.25,0
12,23.5,3e-05,0.25,1.25,0
8,24.0,9e-05,0.4,1.25,0
5,20.0,9e-05,0.4,1.0,0
10,21.0,5e-05,0.2,1.75,0
7,22.5,4e-05,0.5,2.0,0
9,24.0,2e-05,0.25,1.5,0
8,21.5,1e-05,0.25,1.0,0
9,23.5,0.0001,0.2,1.75,0
